old_id	sense.julieartem	cues.julieartem	confidence.julieartem	comments.julieartem	sense.woordenschatjes	cues.woordenschatjes	confidence.woordenschatjes	comments.woordenschatjes	_ctxt.juliartem	_ctxt.woordenschatjes	_id	_ctxt.raw
zwart/adj/nrc_handelsblad_19990419_33/154	Kleur	R0,R1	5		zwart_1	R1,R0	5.0		""" We gaan vannacht naar Stankovic ( een vluchtelingenkamp bij Skopje , red. ) en dan zullen we die Albanese honden weer de grens over jagen "" , brult een zeer gespierde Servische jongen in een <span class='target'>zwart</span> <em>leren</em> <em>jack</em> . Een dag later bleek dat het bij retoriek bleef , wellicht verhinderd"	""" We gaan vannacht naar Stankovic ( een vluchtelingenkamp bij Skopje , red. ) en dan zullen we die Albanese honden weer de grens over jagen "" , brult een zeer gespierde Servische jongen in een <span class='target'>zwart</span> <em>leren</em> <em>jack</em> . Een dag later bleek dat het bij retoriek bleef , wellicht verhinderd"	zwart/adj/nrc_handelsblad_19990419_33/170	""" We gaan vannacht naar Stankovic ( een vluchtelingenkamp bij Skopje , red. ) en dan zullen we die Albanese honden weer de grens over jagen "" , brult een zeer gespierde Servische jongen in een <span class=""target"">zwart</span> leren jack . Een dag later bleek dat het bij retoriek bleef , wellicht verhinderd"
zwart/adj/nrc_handelsblad_20010616_67/259	Huidskleur	L5,R0	5		zwart_9	R0,L5	5.0		Pam Grier werd een ster door haar rollen in blaxploitationfilms uit de jaren zeventig , keiharde misdaadfilms met <em>Afro-Amerikanen</em> die bedoeld waren om het <span class='target'>zwarte</span> <em>publiek</em> de bioscoop in te krijgen . Ze speelde in Foxy Brown en de zwarte-Draculafilm	Pam Grier werd een ster door haar rollen in blaxploitationfilms uit de jaren zeventig , keiharde misdaadfilms met <em>Afro-Amerikanen</em> die bedoeld waren om het <span class='target'>zwarte</span> <em>publiek</em> de bioscoop in te krijgen . Ze speelde in Foxy Brown en de zwarte-Draculafilm	zwart/adj/nrc_handelsblad_20010616_67/277	"Pam Grier werd een ster door haar rollen in blaxploitationfilms uit de jaren zeventig , keiharde misdaadfilms met Afro-Amerikanen die bedoeld waren om het <span class=""target"">zwarte</span> publiek de bioscoop in te krijgen . Ze speelde in Foxy Brown en de zwarte-Draculafilm"
zwart/adj/nrc_handelsblad_20010606_60/655	Slecht/ onvriendelijk (emotie)	R0,R2,L1,R4	5		zwart_8	R0,R2,R4	4.0		"is echter een compleet ander mens dan het kindsterretje van destijds . Ze <em>overwon</em> een <span class='target'>zwarte</span> <em>periode</em> van <em>hasjgebruik</em> en <em>winkeldiefstal</em> en groeide uit tot een volwassen tennisster . "" Ik"	"is echter een compleet ander mens dan het kindsterretje van destijds . Ze overwon een <span class='target'>zwarte</span> <em>periode</em> van <em>hasjgebruik</em> en <em>winkeldiefstal</em> en groeide uit tot een volwassen tennisster . "" Ik"	zwart/adj/nrc_handelsblad_20010606_60/727	"is echter een compleet ander mens dan het kindsterretje van destijds . Ze overwon een <span class=""target"">zwarte</span> periode van hasjgebruik en winkeldiefstal en groeide uit tot een volwassen tennisster . "" Ik"
zwart/adj/nrc_handelsblad_20010503_157/147	Huidskleur	R0	5		zwart_9	R0	3.0		oud , zitten allemaal op basisschool De Blauwe Lijn in de Amsterdamse Bijlmer . Een <span class='target'>zwarte</span> <em>school</em> , ingesloten tussen vervallen flats en ongure parkeergarages . Samen met Finn Poncin en	oud , zitten allemaal op basisschool De Blauwe Lijn in de Amsterdamse Bijlmer . Een <span class='target'>zwarte</span> <em>school</em> , ingesloten tussen vervallen flats en ongure parkeergarages . Samen met Finn Poncin en	zwart/adj/nrc_handelsblad_20010503_157/163	"oud , zitten allemaal op basisschool De Blauwe Lijn in de Amsterdamse Bijlmer . Een <span class=""target"">zwarte</span> school , ingesloten tussen vervallen flats en ongure parkeergarages . Samen met Finn Poncin en"
zwart/adj/nrc_handelsblad_20020824_181/73	Kleur	R0	5		zwart_1	R0	5.0		welzijnsinstelling voor verslavingszorg in St. Oedenrode . ` Evert ' staat er onder . Evert <span class='target'>zwarte</span> <em>spijkerbroek</em> , zwart t-shirt , shagje in de hand zit in de kantine . Hij	welzijnsinstelling voor verslavingszorg in St. Oedenrode . ` Evert ' staat er onder . Evert <span class='target'>zwarte</span> <em>spijkerbroek</em> , zwart t-shirt , shagje in de hand zit in de kantine . Hij	zwart/adj/nrc_handelsblad_20020824_181/87	"welzijnsinstelling voor verslavingszorg in St. Oedenrode . ` Evert ' staat er onder . Evert <span class=""target"">zwarte</span> spijkerbroek , zwart t-shirt , shagje in de hand zit in de kantine . Hij"
zwart/adj/nrc_handelsblad_20010126_108/624	Donker/duister (neutraal)	R0	3		geen	R0	1.0	Geen van de opties bevat deze connotatie	Voor het kleine meisje is grootvader hét voorbeeld : ` Ik was als een ganzekuiken dat zich hecht aan de eerste moederfiguur die het ziet - hij was mijn <span class='target'>zwarte</span> <em>baken</em> . ' Hij leert haar lezen , brengt haar liefde voor boeken bij en	Voor het kleine meisje is grootvader hét voorbeeld : ` Ik was als een ganzekuiken dat zich hecht aan de eerste moederfiguur die het ziet - hij was mijn <span class='target'>zwarte</span> <em>baken</em> . ' Hij leert haar lezen , brengt haar liefde voor boeken bij en	zwart/adj/nrc_handelsblad_20010126_108/664	"Voor het kleine meisje is grootvader hét voorbeeld : ` Ik was als een ganzekuiken dat zich hecht aan de eerste moederfiguur die het ziet - hij was mijn <span class=""target"">zwarte</span> baken . ' Hij leert haar lezen , brengt haar liefde voor boeken bij en"
zwart/adj/nrc_handelsblad_20020102_15/642	Huidskleur	R0	5		zwart_9	L13,R0	5.0		tegen Zuid-Afrika steunden , bleef Israël ( militaire ) zaken doen met Pretoria . De <span class='target'>zwarte</span> <em>bevolking</em> werd letterlijk met dezelfde wapens bestreden als de Israëlische vijand . Naar verluidt hielp	tegen <em>Zuid-Afrika</em> steunden , bleef Israël ( militaire ) zaken doen met Pretoria . De <span class='target'>zwarte</span> <em>bevolking</em> werd letterlijk met dezelfde wapens bestreden als de Israëlische vijand . Naar verluidt hielp	zwart/adj/nrc_handelsblad_20020102_15/702	"tegen Zuid-Afrika steunden , bleef Israël ( militaire ) zaken doen met Pretoria . De <span class=""target"">zwarte</span> bevolking werd letterlijk met dezelfde wapens bestreden als de Israëlische vijand . Naar verluidt hielp"
zwart/adj/nrc_handelsblad_20000512_143/594	geen	L4	4	"Zwart betekent hier iets negatiefs	 ""slecht zijn""	 maar niet emotioneel."	geen	R1	3.0	"Geen enkele van de mogelijke betekenissen bevat een deel van ""iemand slecht afschilderen"""	intrigante . Hoewel uit historisch onderzoek is gebleken dat de <em>gravin</em> wel wat al te <span class='target'>zwart</span> is gemaakt , is de moraal van het verhaal zonneklaar . Adela , Balderik en	intrigante . Hoewel uit historisch onderzoek is gebleken dat de gravin wel wat al te <span class='target'>zwart</span> is <em>gemaakt</em> , is de moraal van het verhaal zonneklaar . Adela , Balderik en	zwart/adj/nrc_handelsblad_20000512_143/646	"intrigante . Hoewel uit historisch onderzoek is gebleken dat de gravin wel wat al te <span class=""target"">zwart</span> is gemaakt , is de moraal van het verhaal zonneklaar . Adela , Balderik en"
zwart/adj/nrc_handelsblad_20020518_163/986	Kleur	L3,L15,R8	5		zwart_1	L15,L3	4.0		<em>Rood</em> , zo leert de grondwet , duidt op de onafhankelijkheidsstrijd , <em>geel</em> op kolonialisme en <span class='target'>zwart</span> op het kwade dat met vrede - de <em>witte</em> ster - wordt overwonnen . En	<em>Rood</em> , zo leert de grondwet , duidt op de onafhankelijkheidsstrijd , <em>geel</em> op kolonialisme en <span class='target'>zwart</span> op het kwade dat met vrede - de witte ster - wordt overwonnen . En	zwart/adj/nrc_handelsblad_20020518_163/1104	"Rood , zo leert de grondwet , duidt op de onafhankelijkheidsstrijd , geel op kolonialisme en <span class=""target"">zwart</span> op het kwade dat met vrede - de witte ster - wordt overwonnen . En"
zwart/adj/nrc_handelsblad_20000327_77/154	Kleur	R0	5		zwart_1	R0	5.0		Louis van Gaal aanleg voor . Het bespelen van de media is hem op het <span class='target'>zwarte</span> <em>streepjespak</em> geschreven . Op de vraag hoe het met zijn vertrek naar Ajax staat ,	Louis van Gaal aanleg voor . Het bespelen van de media is hem op het <span class='target'>zwarte</span> <em>streepjespak</em> geschreven . Op de vraag hoe het met zijn vertrek naar Ajax staat ,	zwart/adj/nrc_handelsblad_20000327_77/172	"Louis van Gaal aanleg voor . Het bespelen van de media is hem op het <span class=""target"">zwarte</span> streepjespak geschreven . Op de vraag hoe het met zijn vertrek naar Ajax staat ,"
zwart/adj/nrc_handelsblad_20010516_149/287	Kleur	R0,L2	5		zwart_1	R0	5.0		"Oomen trekt met een glimlach zijn hemd open en daar staat het , groot en <em>wit</em> op een <span class='target'>zwart</span> <em>shirt</em> . Premier Kok zei dat sprake leek van "" systematisch georganiseerde "" vernielingen ."	"Oomen trekt met een glimlach zijn hemd open en daar staat het , groot en wit op een <span class='target'>zwart</span> <em>shirt</em> . Premier Kok zei dat sprake leek van "" systematisch georganiseerde "" vernielingen ."	zwart/adj/nrc_handelsblad_20010516_149/333	"Oomen trekt met een glimlach zijn hemd open en daar staat het , groot en wit op een <span class=""target"">zwart</span> shirt . Premier Kok zei dat sprake leek van "" systematisch georganiseerde "" vernielingen ."
zwart/adj/nrc_handelsblad_20010103_40/577	Kleur	R0	5		zwart_1	R0	3.0		"voor hen aan twee kanten . Maar andere marktexperts vrezen dat de minister in een <span class='target'>zwart</span> <em>gat</em> trapt . "" Dit is vast bedacht door een creatieve geest op Economische Zaken"	"voor hen aan twee kanten . Maar andere marktexperts vrezen dat de minister in een <span class='target'>zwart</span> <em>gat</em> trapt . "" Dit is vast bedacht door een creatieve geest op Economische Zaken"	zwart/adj/nrc_handelsblad_20010103_40/637	"voor hen aan twee kanten . Maar andere marktexperts vrezen dat de minister in een <span class=""target"">zwart</span> gat trapt . "" Dit is vast bedacht door een creatieve geest op Economische Zaken"
zwart/adj/nrc_handelsblad_20000512_20/1082	Kleur	L6,R0	5		zwart_1	R0	5.0		Ik droeg kleding voor het blad TIQ - ` Mode , Sex en Beat ' - een <em>oranje</em> jas met allemaal gespen , grote <span class='target'>zwarte</span> <em>hoed</em> . Ik kon niet zomaar een gewone meid zijn ; ik moest iets zijn	Ik droeg kleding voor het blad TIQ - ` Mode , Sex en Beat ' - een oranje jas met allemaal gespen , grote <span class='target'>zwarte</span> <em>hoed</em> . Ik kon niet zomaar een gewone meid zijn ; ik moest iets zijn	zwart/adj/nrc_handelsblad_20000512_20/1242	"Ik droeg kleding voor het blad TIQ - ` Mode , Sex en Beat ' - een oranje jas met allemaal gespen , grote <span class=""target"">zwarte</span> hoed . Ik kon niet zomaar een gewone meid zijn ; ik moest iets zijn"
zwart/adj/nrc_handelsblad_20010823_102/185	Onwettelijk/illegaal/verboden	R0,R15	5		zwart_2	R0,L14,R22	5.0		Van die wapens zijn er 600.000 nooit meer opgedoken : ze verdwenen voor een deel naar de <span class='target'>zwarte</span> <em>markt</em> in diverse landen op de Balkan kon men eind 1997 voor vijf dollar een <em>kalasjnikov</em> kopen maar ze verdwenen vooral naar geheime wapendepots : in Albanië , in Macedonië en in Kosovo .	Van die <em>wapens</em> zijn er 600.000 nooit meer opgedoken : ze verdwenen voor een deel naar de <span class='target'>zwarte</span> <em>markt</em> in diverse landen op de Balkan kon men eind 1997 voor vijf dollar een kalasjnikov kopen maar ze verdwenen vooral naar <em>geheime</em> wapendepots : in Albanië , in Macedonië en in Kosovo .	zwart/adj/nrc_handelsblad_20010823_102/209	"Van die wapens zijn er 600.000 nooit meer opgedoken : ze verdwenen voor een deel naar de <span class=""target"">zwarte</span> markt in diverse landen op de Balkan kon men eind 1997 voor vijf dollar een kalasjnikov kopen maar ze verdwenen vooral naar geheime wapendepots : in Albanië , in Macedonië en in Kosovo ."
zwart/adj/nrc_handelsblad_20031002_51/420	Kleur	R0,R6,R7	5		zwart_1	R0	5.0		beeldschoon bij , op dat kleine podium dat op het Plein was opgericht . Zijn <span class='target'>zwarte</span> <em>pak</em> was pas geperst , zijn <em>rode</em> <em>vlinderdasje</em> stak er vurig bij af , en op zijn grijze hoofd zat het eeuwige bolhoedje dat al zoveel Nederlandse harten heeft vertederd .	beeldschoon bij , op dat kleine podium dat op het Plein was opgericht . Zijn <span class='target'>zwarte</span> <em>pak</em> was pas geperst , zijn rode vlinderdasje stak er vurig bij af , en op zijn grijze hoofd zat het eeuwige bolhoedje dat al zoveel Nederlandse harten heeft vertederd .	zwart/adj/nrc_handelsblad_20031002_51/456	"beeldschoon bij , op dat kleine podium dat op het Plein was opgericht . Zijn <span class=""target"">zwarte</span> pak was pas geperst , zijn rode vlinderdasje stak er vurig bij af , en op zijn grijze hoofd zat het eeuwige bolhoedje dat al zoveel Nederlandse harten heeft vertederd ."
zwart/adj/nrc_handelsblad_20010831_106/257	Huidskleur	R1,R2	5		zwart_9	R1,R2	5.0		marcheren in klederdracht over het grasveld . In de traditionele uniformen van de vrijwel uitsluitend <span class='target'>zwarte</span> en <em>gekleurde</em> <em>manschappen</em> zitten rood , wit , blauw en oranje . Langs de kant	marcheren in klederdracht over het grasveld . In de traditionele uniformen van de vrijwel uitsluitend <span class='target'>zwarte</span> en <em>gekleurde</em> <em>manschappen</em> zitten rood , wit , blauw en oranje . Langs de kant	zwart/adj/nrc_handelsblad_20010831_106/285	"marcheren in klederdracht over het grasveld . In de traditionele uniformen van de vrijwel uitsluitend <span class=""target"">zwarte</span> en gekleurde manschappen zitten rood , wit , blauw en oranje . Langs de kant"
zwart/adj/nrc_handelsblad_20020501_102/16	Huidskleur	L0,R0,L4,L5	5		zwart_9	R0,R11	5.0		In een reeks profielen van hedendaagse sterren deze week <em>Halle</em> <em>Berry</em> , die als <em>eerste</em> <span class='target'>zwarte</span> <em>actrice</em> een Oscar kreeg , voor haar rol in het door raciale thema's gekleurde ` Monster's Ball ' .	In een reeks profielen van hedendaagse sterren deze week Halle Berry , die als eerste <span class='target'>zwarte</span> <em>actrice</em> een Oscar kreeg , voor haar rol in het door <em>raciale</em> thema's gekleurde ` Monster's Ball ' .	zwart/adj/nrc_handelsblad_20020501_102/18	"In een reeks profielen van hedendaagse sterren deze week Halle Berry , die als eerste <span class=""target"">zwarte</span> actrice een Oscar kreeg , voor haar rol in het door raciale thema's gekleurde ` Monster's Ball ' ."
zwart/adj/nrc_handelsblad_20031106_135/172	Kleur	R0	5		zwart_1	L7,L9,L5,L3,L1	5.0		Met iets grotere , snelle lossen vegen rood , geel , lila , blauw , wit , <span class='target'>zwart</span> <em>schilderde</em> hij de lucht en in kleine vlekjes van dezelfe kleuren het water . In	Met iets grotere , snelle lossen vegen <em>rood</em> , <em>geel</em> , <em>lila</em> , <em>blauw</em> , <em>wit</em> , <span class='target'>zwart</span> schilderde hij de lucht en in kleine vlekjes van dezelfe kleuren het water . In	zwart/adj/nrc_handelsblad_20031106_135/192	"Met iets grotere , snelle lossen vegen rood , geel , lila , blauw , wit , <span class=""target"">zwart</span> schilderde hij de lucht en in kleine vlekjes van dezelfe kleuren het water . In"
zwart/adj/nrc_handelsblad_20010411_32/195	Kleur	R0	5		zwart_1	R0	5.0		portemonnee . Niet voor niets droegen de leden van de financiële politie bij de inval <span class='target'>zwarte</span> <em>bivakmutsen</em> . Ante Jelavic , de Bosnisch-Kroatische co-president van Bosnië die vorige maand werd ontslagen	portemonnee . Niet voor niets droegen de leden van de financiële politie bij de inval <span class='target'>zwarte</span> <em>bivakmutsen</em> . Ante Jelavic , de Bosnisch-Kroatische co-president van Bosnië die vorige maand werd ontslagen	zwart/adj/nrc_handelsblad_20010411_32/223	"portemonnee . Niet voor niets droegen de leden van de financiële politie bij de inval <span class=""target"">zwarte</span> bivakmutsen . Ante Jelavic , de Bosnisch-Kroatische co-president van Bosnië die vorige maand werd ontslagen"
zwart/adj/nrc_handelsblad_20030711_125/186	Huidskleur	R10	5		zwart_9	R10	5.0		Bill Cosby . Maar die werd door de onderzochte jongeren nu weer als ` te <span class='target'>zwart</span> ' , te veel ` panisch gescheiden ' ( wat <em>huidskleur</em> betreft ) gezien .	Bill Cosby . Maar die werd door de onderzochte jongeren nu weer als ` te <span class='target'>zwart</span> ' , te veel ` panisch gescheiden ' ( wat <em>huidskleur</em> betreft ) gezien .	zwart/adj/nrc_handelsblad_20030711_125/216	"Bill Cosby . Maar die werd door de onderzochte jongeren nu weer als ` te <span class=""target"">zwart</span> ' , te veel ` panisch gescheiden ' ( wat huidskleur betreft ) gezien ."
zwart/adj/nrc_handelsblad_20010223_26/652	Huidskleur	R0,R20	5		zwart_9	L2	5.0		This man must be black somewhere . ' De zegening van de bleekscheet door de <span class='target'>zwarte</span> <em>soulgod</em> is ingebed in een verhaal over een onbereikbare liefde , en vormt de apotheose van een verhandeling over het <em>blanke</em> onvermogen om zich over te geven - aan muziek , maar vooral aan begeerte en seks .	This man must be black somewhere . ' De zegening van de <em>bleekscheet</em> door de <span class='target'>zwarte</span> soulgod is ingebed in een verhaal over een onbereikbare liefde , en vormt de apotheose van een verhandeling over het blanke onvermogen om zich over te geven - aan muziek , maar vooral aan begeerte en seks .	zwart/adj/nrc_handelsblad_20010223_26/700	"This man must be black somewhere . ' De zegening van de bleekscheet door de <span class=""target"">zwarte</span> soulgod is ingebed in een verhaal over een onbereikbare liefde , en vormt de apotheose van een verhandeling over het blanke onvermogen om zich over te geven - aan muziek , maar vooral aan begeerte en seks ."
zwart/adj/nrc_handelsblad_20031013_58/204	Huidskleur	R0	5		zwart_9	R0	5.0		een gezellig avondje uit . En het is best grappig om een benauwd kijkende , <span class='target'>zwarte</span> <em>man</em> met een bedpan door het decor van Zeg 'ns AAA te zien lopen .	een gezellig avondje uit . En het is best grappig om een benauwd kijkende , <span class='target'>zwarte</span> <em>man</em> met een bedpan door het decor van Zeg 'ns AAA te zien lopen .	zwart/adj/nrc_handelsblad_20031013_58/228	"een gezellig avondje uit . En het is best grappig om een benauwd kijkende , <span class=""target"">zwarte</span> man met een bedpan door het decor van Zeg 'ns AAA te zien lopen ."
zwart/adj/nrc_handelsblad_20000527_117/101	Slecht/ onvriendelijk (emotie)	R0,R1	5		zwart_5	R0,R1	3.0	"Deze betekenis eerder dan ""ongeluk""	 omdat de man zelf verantwoordelijk wordt gehouden voor het ""verleden""."	Het monument is bedoeld als eerbetoon voor de generaal die de Atjeh-oorlog won maar eigenlijk een symbool is van een <span class='target'>zwart</span> <em>koloniaal</em> <em>verleden</em> . Ned.3 , 20.10-20.45u. Het laatste oor . Laatste aflevering van dit seizoen	Het monument is bedoeld als eerbetoon voor de generaal die de Atjeh-oorlog won maar eigenlijk een symbool is van een <span class='target'>zwart</span> <em>koloniaal</em> <em>verleden</em> . Ned.3 , 20.10-20.45u. Het laatste oor . Laatste aflevering van dit seizoen	zwart/adj/nrc_handelsblad_20000527_117/117	"Het monument is bedoeld als eerbetoon voor de generaal die de Atjeh-oorlog won maar eigenlijk een symbool is van een <span class=""target"">zwart</span> koloniaal verleden . Ned.3 , 20.10-20.45u. Het laatste oor . Laatste aflevering van dit seizoen"
